model,family,metric,scope,dataset,device_type,category,n,q05,q50,q95,mode,direction
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.grad,category,ALL,ALL,rest,2274,0.6074405056214294,0.7029605044386447,0.834325544246428,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.grad,category,ALL,ALL,task,5190,0.667174125947911,0.745536715004696,0.8572403003226411,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.grad,device_category,ALL,Elekta,rest,2274,0.6074405056214294,0.7029605044386447,0.834325544246428,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.grad,device_category,ALL,Elekta,task,5190,0.667174125947911,0.745536715004696,0.8572403003226411,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.grad,global,ALL,ALL,ALL,7464,0.6398644420442927,0.7357141364282692,0.8483981617161358,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,category,ALL,ALL,rest,4263,0.6131373779418492,0.7180248605848826,0.8446935074977306,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,category,ALL,ALL,task,9041,0.6772426944936738,0.7657263358461829,0.9004178538198094,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,4D,rest,211,0.6733154388685367,0.7436779784262536,0.8247439560607013,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,4D,task,427,0.6833094942615537,0.7577601521224916,0.8452632569302733,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,CTF,rest,1777,0.6137060715888717,0.7190260322731475,0.8300882607919011,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,CTF,task,2735,0.6848532995085083,0.7638174617029336,0.8738875449235777,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,Elekta,rest,2274,0.6095626766152235,0.7140845678040292,0.8530799097865938,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,Elekta,task,5725,0.6733654182885671,0.7669132179296341,0.9222209575513528,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,KIT,task,146,0.7282755831088232,0.7782676109254134,0.8898552318980921,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,QuSpin,task,1,1.0907060044866983,1.0907060044866983,1.0907060044866983,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,QuanMag,rest,1,0.9869875610643768,0.9869875610643768,0.9869875610643768,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,device_category,ALL,QuanMag,task,7,0.8561518508811506,0.9415192604573648,1.005382759799094,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,fractal_domain.DFA,fractal_domain.DFA.mag,global,ALL,ALL,ALL,13304,0.6437787848196108,0.753252013411081,0.8821176505505918,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.grad,category,ALL,ALL,rest,2274,14.80396123259373,26.410539028734533,51.52526415480822,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.grad,category,ALL,ALL,task,5190,18.11041284403426,31.069351339383648,71.11411704971115,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.grad,device_category,ALL,Elekta,rest,2274,14.80396123259373,26.410539028734533,51.52526415480822,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.grad,device_category,ALL,Elekta,task,5190,18.11041284403426,31.069351339383648,71.11411704971115,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.grad,global,ALL,ALL,ALL,7464,16.795267123013552,29.632072265698035,65.22090741159403,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.mag,category,ALL,ALL,rest,4264,15.996074630303584,28.234784255512075,56.57715700753822,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.mag,category,ALL,ALL,task,9041,19.31123720724948,34.57608600341702,219.91839096265912,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.mag,device_category,ALL,4D,rest,212,19.403846777477085,28.926000305416807,49.68477292338838,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.mag,device_category,ALL,4D,task,427,23.46180890282631,36.06288974054326,100.91234738643338,lower_is_better,lower is better
lowcost_quota_T4_S2_Stat1_Fr1,freq_domain.kurtosis_amplitude,freq_domain.kurtosis_amplitude.mag,device_category,ALL,CTF,rest,1777,16.54366064258824,28.24594146249133,55.74484948697909,lower_is_better,lower is better
